person,shelfmark,role,certainty,year_est,place,doc_type
Barakat b. David,TS 16.109 + TS AS 153.489,Groom,attested,1063,Fustat,deed of betrothal (court copy)
David (father of Barakat),TS 16.109 + TS AS 153.489,GroomFather,attested,1063,Fustat,deed of betrothal (court copy)
Na'ama bt. Nisi,TS 16.109 + TS AS 153.489,Bride,attested,1063,Fustat,deed of betrothal (court copy)
Nisi b. Jacob,TS 16.109 + TS AS 153.489,BrideFather,attested,1063,Fustat,deed of betrothal (court copy)
Nisi b. Jacob,TS 16.109 + TS AS 153.489,Agent,attested,1063,Fustat,deed of betrothal (court copy)
Jacob (father of Nisi),TS 16.109 + TS AS 153.489,BrideGrandfather,attested,1063,Fustat,deed of betrothal (court copy)
Yehezqel b. Benjamin ha-Levi,TS 16.109 + TS AS 153.489,WitnessOfAgency,attested,1063,Fustat,deed of betrothal (court copy)
Joseph b. Azarya,TS 16.109 + TS AS 153.489,WitnessOfAgency,attested,1063,Fustat,deed of betrothal (court copy)
Hasan b. Sedaqa ha-Kohen,TS 16.109 + TS AS 153.489,Witness,attested,1063,Fustat,deed of betrothal (court copy)
Sedaqa b. Isaac,TS 16.109 + TS AS 153.489,Witness,attested,1063,Fustat,deed of betrothal (court copy)
Yefet b. Jacob,TS 16.109 + TS AS 153.489,Witness,attested,1063,Fustat,deed of betrothal (court copy)
El'azar b. Samuel b. Sahl ha-Eved,TS 16.109 + TS AS 153.489,Witness,attested,1063,Fustat,deed of betrothal (court copy)
Moses b. A[...],TS 16.109 + TS AS 153.489,Witness,attested,1063,Fustat,deed of betrothal (court copy)
Jacob b. Joseph,TS 16.109 + TS AS 153.489,Witness,attested,1063,Fustat,deed of betrothal (court copy)
Samuel b. Sahl,TS 16.109 + TS AS 153.489,Mentioned,contextual,1063,Fustat,deed of betrothal (court copy)
Barakat b. David,TS 20.47r,Groom,attested,1064,Fustat,ketubba
David (father of Barakat),TS 20.47r,GroomFather,attested,1064,Fustat,ketubba
Na'ama bt. Nisi,TS 20.47r,Bride,attested,1064,Fustat,ketubba
Nisi b. Jacob,TS 20.47r,BrideFather,attested,1064,Fustat,ketubba
Nisi b. Jacob,TS 20.47r,Agent,attested,1064,Fustat,ketubba
[...] b. Yesha'ya ha-Kohen,TS 20.47r,WitnessOfAgency,attested,1064,Fustat,ketubba
Barakat b. Azarya,TS 20.47r,WitnessOfAgency,attested,1064,Fustat,ketubba
Isaac b. Eli,TS 12.644,Groom,attested,1030,Fustat,deed of betrothal
Mubaraka bt. [...],TS 12.644,Bride,attested,1030,Fustat,deed of betrothal
Jehuda ha-Levi b. Nisi ha-Melammed,TS 12.644,Scribe,attested,1030,Fustat,deed of betrothal
Jehuda ha-Levi b. Nisi ha-Melammed,TS 12.644,Witness,attested,1030,Fustat,deed of betrothal
Joseph b. Jehuda ha-Levi,TS 12.644,Scribe,attested,1030,Fustat,deed of betrothal
Joseph b. Jehuda ha-Levi,TS 12.644,Witness,attested,1030,Fustat,deed of betrothal
Babad ha-Kohen b. David,TS 12.644,Witness,attested,1030,Fustat,deed of betrothal
Yefet ha-Kohen b. Eli b. Zita,TS 12.644,Witness,attested,1030,Fustat,deed of betrothal
Samuel b. Joseph al-Basri,TS 12.644,Witness,attested,1030,Fustat,deed of betrothal
Sedaqa b. Moses,TS 12.644,Witness,attested,1030,Fustat,deed of betrothal
Joseph b. Aaron ha-Levi,TS 12.644,Witness,attested,1030,Fustat,deed of betrothal
Yefet b. Abraham al-Tustari,TS 16.50,Groom,attested,1043,Fustat,deed of betrothal (draft) + deed of attorney
Abraham (Abu Sa'ad) b. Sahl al-Tustari,TS 16.50,GroomFather,attested,1043,Fustat,deed of betrothal (draft) + deed of attorney
Ama al-Aziz bt. Hizkiyahu,TS 16.50,Bride,attested,1043,Fustat,deed of betrothal (draft) + deed of attorney
Hizkiyahu b. Solomon (nasi),TS 16.50,BrideFather,attested,1043,Fustat,deed of betrothal (draft) + deed of attorney
Hizkiyahu b. Solomon (nasi),TS 16.50,Agent,attested,1043,Fustat,deed of betrothal (draft) + deed of attorney
Ezra b. Ishma'el b. Ezra,TS 16.50,Agent,attested,1043,Fustat,deed of betrothal (draft) + deed of attorney
Aaron b. Sahl al-Tustari,TS 16.50,WitnessOfAgency,attested,1043,Fustat,deed of betrothal (draft) + deed of attorney
Aaron b. Yehoshua,TS 16.50,WitnessOfAgency,attested,1043,Fustat,deed of betrothal (draft) + deed of attorney
Azarya b. Salih,TS 16.50,WitnessOfAgency,attested,1043,Fustat,deed of betrothal (draft) + deed of attorney
David b. Semah (nasi),TS 16.50,Nasi,attested,1043,Fustat,deed of betrothal (draft) + deed of attorney
David b. Semah (nasi),TS 16.50,Judge,attested,1043,Fustat,deed of betrothal (draft) + deed of attorney
Khatabya b. al-Tabat,TS 16.50,Witness,attested,1043,Fustat,deed of betrothal (draft) + deed of attorney
Sahl b. Sa'adya al-Baghdadi,TS 16.50,Witness,attested,1043,Fustat,deed of betrothal (draft) + deed of attorney
Joseph b. Abraham b. al-Fara,TS 16.50,Witness,attested,1043,Fustat,deed of betrothal (draft) + deed of attorney
Abraham b. al-Fara,TS 16.50,Witness,attested,1043,Fustat,deed of betrothal (draft) + deed of attorney
Hesed (Abu Nasr) b. Sahl al-Tustari,TS 16.50,Mentioned,contextual,1043,Fustat,deed of betrothal (draft) + deed of attorney
