canonical_name,sect,gender,num_docs,year_min,year_max,origin_or_nisba_place
'The exquisite scholar',Karaite (presumed),M,1,1033,1033,
[...] b. Efraim,Karaite (presumed),M,1,1062,1062,
[...] b. El'azar b. Halfon,Karaite (presumed),M,1,1201,1201,
[...] b. Isaac ha-Levi al-Qata'if,Karaite (presumed),M,1,1015,1015,
[...] b. Khalaf,Karaite (presumed),M,1,1045,1045,
"[...] b. Mansur (groom, OS57)",Rabbanite,M,1,1035,1035,
[...] b. Yesha'ya ha-Kohen,Karaite (presumed),M,1,1064,1064,
[...] ha-Kohen (OS46),Karaite (presumed),M,1,1050,1050,
[...] ha-Kohen b. Joseph,Karaite (presumed),M,1,1030,1030,
Aaron b. Isaac,unknown,M,1,1055,1055,
Aaron b. Mordekhai,Karaite (presumed),M,1,1050,1050,
Aaron b. Sahl al-Tustari,Karaite,M,1,1043,1043,Tustar (Shustar)
Aaron b. Semah ha-Kohen,Karaite (presumed),M,1,1051,1051,
Aaron b. Yehoshua,Karaite,M,1,1043,1043,
Aaron ha-Kohen (father of Menashe),Karaite (presumed),M,1,1088,1088,
"Aaron ha-Kohen (grandfather, OS33)",Karaite (presumed),M,1,1088,1088,
Abraham (Abu Sa'ad) b. Sahl al-Tustari,Karaite,M,1,1043,1043,Tustar (Shustar)
Abraham (father of Karima),Karaite (presumed),F,1,1050,1050,
"Abraham (physician, father of Yehya)",Rabbanite,M,1,1117,1117,
Abraham al-Awalani,Karaite (presumed),M,1,1037,1037,
Abraham b. al-Fara,Karaite (presumed),M,1,1043,1043,
Abraham b. Isaac,Karaite (presumed),M,1,1002,1002,
Abraham b. Isaac b. Furat,Rabbanite,M,1,1055,1055,
Abraham b. Jacob,Karaite (presumed),M,1,1130,1130,
Abraham b. Joseph b. Anan ha-Levi,Karaite (presumed),M,1,1062,1062,
Abraham b. Musallam,Karaite,M,2,1030,1049,
Abraham b. Solomon (Abu Kathir),Rabbanite,M,1,1055,1055,
Abraham b. Solomon Gaon,Rabbanite,M,1,1062,1062,
